# Processed xy data with Haverford two-theta converted to LBL scale
two_theta,intensity
9.440962206854483,3.0
9.464229594327216,3.0
9.487497083926264,4.0
9.510764675907303,1.0
9.534032370526038,1.0
9.557300168038212,3.0
9.580568068699591,4.0
9.603836072765995,3.0
9.627104180493268,2.0
9.65037239213729,6.0
9.673640707953984,4.0
9.696909128199298,4.0
9.720177653129229,7.0
9.7434462829998,5.0
9.766715018067071,3.0
9.789983858587142,3.0
9.813252804816148,5.0
9.836521857010267,3.0
9.859791015425694,2.0
9.88306028031868,5.0
9.906329651945507,3.0
9.929599130562494,2.0
9.952868716425995,5.0
9.976138409792394,5.0
9.99940821091813,8.0
10.022678120059663,6.0
10.045948137473498,5.0
10.069218263416177,7.0
10.092488498144272,7.0
10.115758841914406,5.0
10.13902929498323,5.0
10.162299857607428,3.0
10.185570530043737,6.0
10.208841312548918,4.0
10.232112205379778,7.0
10.255383208793155,9.0
10.278654323045938,8.0
10.301925548395035,9.0
10.32519688509741,7.0
10.34846833341006,9.0
10.371739893590012,7.0
10.395011565894338,6.0
10.418283350580161,3.0
10.441555247904622,8.0
10.464827258124908,12.0
10.48809938149825,15.0
10.511371618281917,19.0
10.534643968733214,20.0
10.557916433109481,36.0
10.581189011668108,45.0
10.604461704666518,51.0
10.627734512362176,62.0
10.65100743501258,90.0
10.674280472875276,93.0
10.697553626207851,99.0
10.720826895267923,102.0
10.744100280313154,115.0
10.767373781601245,110.0
10.790647399389943,76.0
10.813921133937027,51.0
10.837194985500323,31.0
10.860468954337696,15.0
10.883743040707044,9.0
10.90701724486632,6.0
10.930291567073505,4.0
10.953566007586625,6.0
10.976840566663748,5.0
11.000115244562984,6.0
11.023390041542479,8.0
11.046664957860425,6.0
11.069939993775053,4.0
11.09321514954464,6.0
11.116490425427497,5.0
11.139765821681978,7.0
11.163041338566483,7.0
11.186316976339457,6.0
11.209592735259374,4.0
11.232868615584756,4.0
11.256144617574174,6.0
11.279420741486225,5.0
11.302696987579575,4.0
11.325973356112902,4.0
11.349249847344945,2.0
11.37252646153448,5.0
11.395803198940328,10.0
11.419080059821349,12.0
11.442357044436445,5.0
11.465634153044565,4.0
11.488911385904702,3.0
11.512188743275887,3.0
11.535466225417197,3.0
11.558743832587748,4.0
11.582021565046707,5.0
11.605299423053278,4.0
11.628577406866714,3.0
11.651855516746306,6.0
11.675133752951389,7.0
11.698412115741345,7.0
11.7216906053756,3.0
11.744969222113623,4.0
11.768247966214924,2.0
11.791526837939063,6.0
11.81480583754564,7.0
11.838084965294295,4.0
11.861364221444722,6.0
11.88464360625666,8.0
11.90792311998988,7.0
11.931202762904206,10.0
11.95448253525951,7.0
11.977762437315706,4.0
12.00104246933275,5.0
12.024322631570639,2.0
12.047602924289434,1.0
12.070883347749223,3.0
12.09416390221014,3.0
12.117444587932372,5.0
12.14072540517615,7.0
12.164006354201756,7.0
12.1872874352695,6.0
12.210568648639759,6.0
12.233849994572935,8.0
12.2571314733295,3.0
12.280413085169949,3.0
12.303694830354837,6.0
12.326976709144764,9.0
12.35025872180037,6.0
12.373540868582348,4.0
12.396823149751432,4.0
12.420105565568411,5.0
12.443388116294111,4.0
12.46667080218941,6.0
12.489953623515236,5.0
12.513236580532558,2.0
12.53651967350239,4.0
12.559802902685805,3.0
12.583086268343914,3.0
12.606369770737873,4.0
12.629653410128896,6.0
12.652937186778235,4.0
12.676221100947195,5.0
12.699505152897125,3.0
12.722789342889424,5.0
12.746073671185545,9.0
12.769358138046975,7.0
12.79264274373526,8.0
12.815927488511997,6.0
12.83921237263882,5.0
12.86249739637742,3.0
12.885782559989533,4.0
12.90906786373694,3.0
12.932353307881483,3.0
12.955638892685041,2.0
12.978924618409549,3.0
13.002210485316985,5.0
13.02549649366938,3.0
13.048782643728815,2.0
13.07206893575742,4.0
13.095355370017367,5.0
13.118641946770891,3.0
13.14192866628027,3.0
13.165215528807824,6.0
13.188502534615935,6.0
13.211789683967028,5.0
13.235076977123583,7.0
13.258364414348119,5.0
13.281651995903221,5.0
13.304939722051515,2.0
13.32822759305568,1.0
13.351515609178437,3.0
13.374803770682572,6.0
13.398092077830908,4.0
13.42138053088633,5.0
13.444669130111777,3.0
13.467957875770214,4.0
13.491246768124684,6.0
13.514535807438268,7.0
13.537824993974109,8.0
13.561114327995382,6.0
13.584403809765332,2.0
13.60769343954725,5.0
13.630983217604475,4.0
13.654273144200399,6.0
13.677563219598468,4.0
13.70085344406218,7.0
13.724143817855081,5.0
13.747434341240776,4.0
13.770725014482913,4.0
13.794015837845201,3.0
13.8173068115914,2.0
13.840597935985315,3.0
13.863889211290813,6.0
13.887180637771806,7.0
13.910472215692266,9.0
13.933763945316214,6.0
13.957055826907721,4.0
13.980347860730916,5.0
14.00364004704998,5.0
14.026932386129145,4.0
14.050224878232704,6.0
14.073517523624988,4.0
14.096810322570402,6.0
14.120103275333387,3.0
14.143396382178445,2.0
14.16668964337013,4.0
14.189983059173056,8.0
14.21327662985189,4.0
14.236570355671335,4.0
14.259864236896174,5.0
14.283158273791232,8.0
14.30645246662139,5.0
14.329746815651578,6.0
14.353041321146794,2.0
